,Source,Number,Title,Artist,Genre,Subgenre/Style,Year,Clip name
17,1,60,Hold It Against Me,Britney Spears,5.0,Contemporary,2011.0,0060_britneySpears_holdItAgainstMe.mp4
18,1,62,Whatever You Like,T.I.,6.0,HipHop/Pop,2008.0,0062_ti_whateverYouLike.mp4
19,1,63,Give It To Me,Timbaland,5.0,R&B/Soul,2007.0,0063_timbaland_giveItToMe.mp4
20,1,66,I Believe,Fantasia,8.0,Contemporary,2004.0,0066_fantasia_iBelieve.mp4
21,1,72,Truly Madly Deeply,Savage Garden,5.0,Adult Contemporary,1998.0,0072_savageGarden_trulyMadlyDeeply.mp4
22,1,75,Exhale (Shoop Shoop),Whitney Houston,8.0,Contemporary,1995.0,0075_whitneyHouston_exhaleShoopShoop.mp4
23,1,76,Have You Ever Really Loved A Woman?,Bryan Adams,7.0,Soft,1995.0,0076_bryanAdams_haveYouEverReallyLovedAWoman.mp4
24,1,77,I Swear,All-4-One,8.0,Contemporary,1994.0,0077_all-4-one_iSwear.mp4
25,1,78,I Love You,Kenny Rankin,7.0,Soft,1976.0,0078_kennyRankin_iLoveYou.mp4
26,1,80,Praying For Time,George Michael,5.0,Soul,1990.0,0080_georgeMichael_prayingForTime.mp4
27,1,81,How Am I Supposed To Live Without You?,Michael Bolton,7.0,Soft,1990.0,0081_michaelBolton_howAmISupposedToLiveWithoutYou.mp4
28,1,82,Every Rose Has Its Thorn,Poison,7.0,Hair Metal,1988.0,0082_poison_everyRoseHasItsThorn.mp4
29,1,83,With Or Without You,U2,7.0,Pop,1987.0,0083_u2_withOrWithoutYou.mp4
30,1,84,Lean On Me,Club Nouveau,8.0,Pop/Soul,1987.0,0084_clubNouveau_leanOnMe.mp4
31,1,85,Heaven,Bryan Adams,7.0,Soft,1985.0,0085_bryanAdams_heaven.mp4
